Sub_PillarID,Location_ID,Street_address,Descr,Zip_code
31,32431,"7004 Tavistock Lakes Blvd","Pixon Apartments Parking Lot - Ground Level | J-1772, Tesla",32827
31,32462,"14086 Centerline Dr","Heroes Community Park | J-1772",32827
31,32475,"13631 Sachs Avenue","Laureate Park Pool | J-1772",32827
31,32487,"200 Outlook Point Dr","Dynamic Attractions | J-1772",32809
31,32502,"224 Outlook Point Dr","Horizon Commerce Park II | J-1772",32809
31,32951,"8001 S Orange Blossom Trail","The Florida Mall | CCS/SAE, CHAdeMO",32809
31,32966,"8001 S Orange Blossom Trail","The Florida Mall - Foot Locker | J-1772",32809
31,32994,"8701 S Orange Blossom Trail","King Fountain Mitsubishi | J-1772",32809
31,33026,"9750 S Orange Blossom Trail","Fields BMW South Orlando | J-1772",32837
31,33038,"5944 S Orange Blossom Trail","Domino's Pizza | Wall, J-1772",32809
31,33103,"4951 International Dr","Orlando International Premium Outlets | Tesla(Fast), CHAdeMO, CCS/SAE, J-1772",32819
31,37055,"4510 N Fort Wilderness Trl","Disney's Fort Wilderness Resort",32830
31,37134,"4951 International Dr","Orlando International Premium Outlets | Tesla, CHAdeMO, CCS/SAE, J-1772",32819
31,37240,"1080 Esplanade Dr","Disney's Riviera Resort - West Parking Lot | J-1772",32830
31,37349,"7389 Universal Blvd","The Point Hotel & Suites | J-1772, Tesla",32819
31,37398,"7299 Universal Blvd","Best Western Orlando Gateway | J-1772",32819
31,37486,"100 W Anderson St","Reliable Plaza(2) | CHAdeMO, CCS/SAE",32801
32,37770,"Cady Way Trail","Trails (bike/jogging), Walking Path (Paved), Restaurants Nearby",NULL
32,37793,"Downtown Loop","The Colonial Drive Overpass, Bike racks, Bike repair stations, Green trail crossings",NULL
32,37808,"Lake Underhill Path","Fitness Station(s), Lakes, Restroom Facilities, Trails (bike/jogging), Walking Path (Paved)",NULL
32,37821,"Orlando Southeast Trail","Trails (bike/jogging), Walking Path (Paved)",NULL
32,37850,"Shingle Creek Trail","Bird Watching/Nature, Trails (bike/jogging), Walking Path (Paved)",NULL
51,72401,"1808 E Central Boulevard","Langford Park",32802
51,72534,"100 Rosearden Drive","Dickson Azalea Park",32803
51,72603,"300 S Summerlin Ave","Constitution Green Park",32801
51,72972,"512 East Washington Street","Lake Eola Park",32801
51,73085,"930 N Thornton Avenue","Big Tree Park",32803
51,75179,"1920 North Forest Avenue","Harry P. Leu Gardens",32803
51,75260,"777 E Princeton Street","Loch Haven Park",32803
52,76022,"7098 Shadowridge Drive","Airport Lakes Park",32812
52,76049,"901 Delaney Avenue","Al Coith Park",32806
52,76068,"2400 Edgewater Drive","Albert Park",32804
52,76101,"930 N Thornton Avenue","Big Tree Park",32803
52,76155,"3401 South Hiawassee Road","Bill Frederick Park At Turkey Lake",32835
52,76205,"2500 South Mills Avenue","Blankner Field",32806
52,76239,"2501 General Rees Avenue","Blue Jacket Park",32814
52,76294,"Cady Way Trail","Cady Way Trail",32803
52,76319,"101 North Parramore Avenue","Callahan Neighborhood Center",32801
52,76352,"619 Parramore Avenue","Checker Park",32801
52,76383,"525 Cherokee Drive","Cherokee Park",32801
52,76405,"2725 E Jackson Street","Cherry Tree Park",32803
52,76462,"5624 Hickey Drive","Citrus Square Neighborhood Center",32822
52,76479,"2301 29th Street","Clear Lake Park",32805
52,76497,"2393 Elizabeth Avenue","College Park Neighborhood Center",32804
52,76517,"2411 Elizabeth Street","College Park Pool",32804
52,76541,"305 S Crystal Lake Drive","Colonel Joe Kittinger Park",32803
52,76592,"1517 Lake Highland Drive","Colonialtown Neighborhood Center",32803
52,76609,"820 N Fern Creek Avenue","Colonialtown Square Park",32803
52,76656,"300 S Summerlin Ave","Constitution Green",32801
52,76673,"822 Dartmouth Street","Dartmouth Park",32804
52,76722,"1055 Delaney Avenue","Delaney Park",32801
52,76744,"650 Santiago Avenue","Demetree Park",32807
52,76767,"100 Rosearden Drive","Dickson Azalea Park",32803
52,76785,"851 Edgewater Drive","Don Dudley Park",32804
52,76803,"1400 Gaston Foster Rd","Dover Shores Pool/Neighborhood Center",32812
52,76822,"1340 Lake Park Court","Dr. I Sylvester Hankins Park Center",32805
52,76842,"1723 Bruton Boulevard","Dr. James R. Smith Neighborhood Center",32805
52,76863,"5165 Metrowest Boulevard","Eagle Nest Park",32811
